id,name,parking,reserved,fee,latitude,longitude
13382,laurel exxon on the go,25,False,False,31.697668,-89.114335
13383,laurel kangaroo express,15,False,False,31.697879,-89.1159
13384,lawrence 100 travel center,15,False,False,32.336913,-89.29151
13385,leland double quick,5,False,False,33.402514,-90.880524
13386,louisville main street junction,75,False,False,33.124128,-89.085113
13387,lucedale four mile truckstop,3,False,False,30.923393,-88.509118
13388,lyon shady nook,0,False,False,34.23421,-90.530862
13389,madison exxon,3,False,False,32.51724,-90.09875
13390,magee loves travel stop,10,False,False,31.874053,-89.755486
13391,marion cefco,20,False,False,32.415359,-88.655161
13392,mccomb loves travel stop,50,False,False,31.188427,-90.485845
13393,mccomb summit bp,3,False,False,31.287967,-90.475003
13394,meridian cefco,25,False,False,32.350727,-88.691217
13395,meridian mr fuel pilot dealer,80,False,False,32.34272766,-88.79781342
13396,meridian pilot travel center,30,False,False,32.345343,-88.727109
13397,meridian queen city truck stop,10,False,False,32.351018,-88.738712
13398,meridian russell shell,0,False,False,32.394538,-88.577485
13399,meridian ta travel center,6,False,False,32.39619827,-88.58260345
13400,moss point interstate amoco,5,False,False,30.438212,-88.526647
13401,moss point pilot travel center,20,False,False,30.437732,-88.527819
13402,mount pleasant mount pleasant petroleum,0,False,False,34.960332,-89.528756
13403,natchez b-kwik,5,False,False,31.576263,-91.312765
13404,nettleton chevron,150,False,False,34.073692,-88.627991
13405,new albany kangaroo express,4,False,False,34.468229,-89.007925
13406,new albany pilot travel center,2,False,False,34.4689,-89.0067
13407,new albany regal truck stop,10,False,False,34.492268,-89.056433
13408,new augusta taters exxon,65,False,False,31.201358,-89.036738
13409,newton cefco,15,False,False,32.336826,-89.140083
13410,newton newton junction shell,40,False,False,32.341871,-89.137852
13411,oakland ljs express,5,False,False,34.075555,-89.896122
13412,ocean springs kangaroo,110,False,False,30.451295,-88.841532
13413,okolona fair oil company,125,False,False,34.016065,-88.701504
13414,olive branch flying j travel plaza,45,False,False,34.92914,-89.794049
13415,pachuta pachuta travel plaza,25,False,False,32.057892,-88.90159
13416,pass christian chevron,8,False,False,30.405156,-89.248088
13417,"pass christian mississippi fuel and service 
center",100,False,False,30.405146,-89.247822
13418,pearl cefco,2,False,False,32.27376,-90.072278
13419,pearl flying j travel plaza,156,False,False,32.276881,-90.159868
13420,pelahatchie chevron,3,False,False,32.300156,-89.802825
13421,pelahatchie dickerson petroleum,2,False,False,32.295413,-89.804732
13422,pelahatchie super stop,40,False,False,32.299154,-89.803153
13423,pickens kangaroo crossing bp,195,False,False,32.943716,-89.979958
13424,poplarville loves travel stop,5,False,False,30.846458,-89.497855
13425,potts camp flicks truck stop,20,False,False,34.653432,-89.31061
