id,name,parking,reserved,fee,latitude,longitude,type
1525,colfax colfax vally travel center,80,False,False,41.69597,-93.246697,1
1526,colfax kum and go,25,False,False,41.686902,-93.246932,1
1527,coralville kum and go,20,False,False,41.682623,-91.565465,1
1528,council bluffs pilot travel center,3,False,False,41.235747,-95.879186,0
1529,council bluffs sapp bros travel center,25,False,False,41.236182,-95.879183,1
1530,council bluffs ta travel center,25,False,False,41.22869873,-95.85359955,1
1531,davenport flying j travel plaza,0,False,False,41.602479,-90.625017,0
1532,davenport loves travel stop,2,False,False,41.603859,-90.624379,0
1533,de witt dewitt travel mart,0,False,False,41.808684,-90.538244,0
1534,decorah country express,82,False,False,43.438936,-91.860702,1
1535,delaware delaware kwik stop,0,False,False,42.4731652,-91.3437974,0
1536,denison ampride truck plaza,21,False,False,42.023139,-95.371348,1
1537,denver kwik star,15,False,False,42.671089,-92.337036,1
1538,denver kwik star #701,25,False,False,42.671082,-92.33704,1
1539,des moines kum and go,2,False,False,41.61541,-93.578871,0
1540,des moines pilot travel center,20,False,False,41.630905,-93.78022,1
1541,des moines quick fuel-broadway #2901,2,False,False,41.644925,-93.578742,0
1542,des moines quiktrip travel center,6,False,False,41.648041,-93.600271,1
1543,dows dows junction,80,False,False,42.673654,-93.46193,1
1544,dubuque bp autotruck plaza,20,False,False,42.511684,-90.656368,1
1545,dubuque kwik stop conoco,15,False,False,42.460359,-90.674078,1
1546,dubuque kwik stop truck stop,100,False,False,42.520794,-90.655317,1
1547,dyersville dyersville kwik stop,80,False,False,42.4719228,-91.1345422,1
1548,eddyville eddyville bp,40,False,False,41.153655,-92.628238,1
1549,elk run heights road ranger,80,False,False,42.461182,-92.248543,1
1550,elkader fast trak,5,False,False,42.868179,-91.383805,0
1551,ellsworth kum and go,2,False,False,42.309751,-93.57253,0
1552,ellsworth loves travel stop,60,False,False,42.310821,-93.571052,1
1553,evansdale flying j travel plaza,0,False,False,42.45972,-92.2522,0
1554,floyd fuel express,0,False,False,43.122427,-92.73831,0
1555,floyd loves travel stop,4,False,False,43.123152,-92.736675,0
1556,garner garner town mart,10,False,False,43.105841,-93.603996,1
1557,grandview petro and more,5,False,False,41.276637,-91.195816,0
1558,griggs holstein travel center,0,False,False,42.474021,-95.543855,0
1559,grimes yesway 1037,25,False,False,41.65907,-93.773975,1
1560,grinnell kum and go,10,False,False,41.700314,-92.726068,1
1561,hinton cenex,6,False,False,42.627581,-96.292162,1
1562,holland the mill,25,False,False,42.466074,-92.767342,1
1563,holy cross mid mart,0,False,False,42.579006,-90.932143,0
1564,humboldt sparkys first stop,5,False,False,42.731953,-94.227129,0
1565,independence go america,0,False,False,42.451391,-91.889144,0
1566,iowa city kum and go,20,False,False,41.696364,-91.665825,1
1567,janesville kwik star,20,False,False,42.649539,-92.454909,1
1568,jefferson sparkys one stop,15,False,False,42.03503,-94.367301,1
1569,jesup kwik trip,25,False,False,42.468274,-92.059362,1
1570,latimer dudleys corner,10,False,False,42.746425,-93.392474,1
1571,le mars consolidated energy,20,False,False,42.770928,-96.190195,1
1572,le mars lemars truck stop,20,False,False,42.78888,-96.173772,1
1573,lime springs lime springs travel plaza,0,False,False,43.449943,-92.29699,0
1574,lowden lowden truck stop,30,False,False,41.854938,-90.928012,1
1575,manchester e-z pickens,3,False,False,42.467712,-91.480085,0
1576,manchester kwik trip,0,False,False,42.483282,-91.470369,0
1577,maquoketa timber city travel plaza,40,False,False,42.048764,-90.665313,1
1578,marshalltown git-n-go,10,False,False,42.005961,-92.911484,1
1579,marshalltown kum and go,10,False,False,42.044297,-92.89332,1
1580,marshalltown yesway bp travel plaza,30,False,False,42.006833,-92.884641,1
